56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
56,49,50,49,50,49,56,49,56,49,50,49,50,49,56
56,50,56,56,56,56,56,56,56,56,56,56,56,50,56
56,49,56,49,56,49,56,49,56,49,56,49,56,49,56
56,50,56,56,56,50,50,56,50,50,56,56,56,50,56
56,49,56,49,56,50,50,56,50,50,56,49,56,49,56
56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
56,49,56,49,56,56,56,56,56,56,56,49,56,49,56
56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
56,49,56,49,56,50,50,56,50,50,56,49,56,49,56
56,50,56,56,56,50,50,56,50,50,56,56,56,50,56
56,49,56,49,56,49,56,49,56,49,56,49,56,49,56
56,50,56,56,56,56,56,56,56,56,56,56,56,50,56
56,49,50,49,50,49,56,49,56,49,50,49,50,49,56
56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
